HRDLST	ecDNA	CHR	WGDearly	WGDlate
EGBLEW	0.0805227492630199	0.00989580892160143	0.903262995016671	0.00631844679870736	0
EOBB4Q	0.290056516590152	0.0168753544030129	0.679820695197156	0.0105065385935728	0.00274089521610574
ER52JI	0.283924451384484	0.0207737040469287	0.664300280684247	0	0.0310015638843403
EUBWM4	0.482011508078361	0	0.405838556954845	0.0474454189492425	0.0647045160175513
EZGA5Z	0.0822011946437078	0.0885420732008507	0.825600412447178	0	0.00365631970826313
FAZ1W2	0	0.046819896867947	0.860584329043332	0.0925957740887211	0
FQFXOJ	0	0.0418839306694272	0.863706728271486	0.0944093410590869	0
FSD5AL	0.183601803194556	0.0118884523470939	0.78160171935306	0	0.02290802510529
FSRD1S	0.0249943927369921	0.00572691013319118	0.956740534770475	0.0125381623593417	0
FT87FV	0.123356786520904	0.0750682128708088	0.675956809015473	0.0705087112611296	0.055109480331684
FTCARU	0.0752927973779731	0.0910734854294089	0.833489033910851	0.000144683281767255	0
FVKRBE	0.146526206914216	0.0469236792473972	0.797929291034746	0	0.00862082280364037
FWLMC1	0.129644737420458	0.00819904834171701	0.83302182837475	0.00962017992085562	0.0195142059422202
FXAR16	0.171148652377253	0.0145571543859453	0.798029323829673	0.0162648694071285	0
FZVLXX	0.241039029369243	0.026229861774092	0.706873851959093	0	0.0258572568975717
G90O42	0.375359224451594	0.0385581190230653	0.534837026630177	0	0.0512456298951638
GBGFGL	0.0108101972523631	0.132799432952188	0.758676259649728	0.0699302675544668	0.027783842591255
GI997S	0.493913281721055	0.0228765714080314	0.34863285688603	0.0397937416060271	0.0947835483788571
GMYO24	0	0.025491707609908	0.87744385784697	0.0970644345431222	0
GN3Y4C	0.0923233354160357	0.0520490551760707	0.833640574945792	0.0219870344621018	0
GN7L9C	0	0.00164550533611444	0.90038884030188	0.097965654362005	0
GP0TDC	0.24383664467359	0.0829399077998997	0.609976697180565	0	0.063246750345946
H1V34Z	0.149549346804837	0.0595286459199086	0.658237691839146	0.0661939052052113	0.0664904102308973
H38J5I	0.0666781879989194	0.0662119727770853	0.854864997751484	0.0122448414725111	0
HIWZ4I	0.080796626192419	0.0182976152089847	0.881874645314756	0.0190311132838404	0
HPOG2A	0.0201557169010346	0.12216878035247	0.757792014202395	0.0772060421822392	0.0226774463618615
HT9693	0.405436750507124	0.0378102679426403	0.541629833482222	0	0.015123148068014
HWO7M5	0.287965699492044	0.0190431887427405	0.673405335252871	0	0.0195857765123451
I83O6B	0.0205300243130043	0.188961886033667	0.663885183785085	0.0440750596689624	0.0825478461992818
ICFMQL	0	0.115057788736204	0.769555476473459	0.0712018629483255	0.0441848718420121
IM2TB5	0.149808860669752	0.0769280196397113	0.650564843545078	0.06714675829536	0.0555515178500989
IMPBRK	0.399986017524488	0.0311618028077252	0.553445097301723	0	0.0154070823660637
IQM8M8	0.125147950218758	0.105142528920745	0.767601693900544	0.00210782695995302	0
IWRH08	0.157126420350735	0.0503427715733564	0.77165473372303	0	0.0208760743528785
J06M0X	0.0426287483108797	0.151595784988231	0.725127910805276	0.0683969446994281	0.0122506111961851
J3EQP7	0.347766864285962	0.0422785667698814	0.582531171764198	0	0.0274233971799589
J3Z8K7	0.040683600127022	0.0669941705557573	0.765112725949478	0.0832047530517146	0.0440047503160285
JCZR3B	0	0.0869379533450653	0.806897893174372	0.084295584333838	0.0218685691467245
JGTA19	0	0.13304300093129	0.749455804802106	0.0655638698407552	0.0519373244258489
JN8VFV	0.119656503993869	0.0211483139526486	0.845046310852139	0.0141488712013439	0
JOAOG1	0.0762644120163386	0.0949055226304056	0.82455356738572	0	0.00427649796753619
JOZUYQ	0.0284214015849987	0.190909857681265	0.664921250442486	0.044756403833627	0.0709910864576235
JP9ZTJ	0.0359514161019045	0.000148942293558461	0.861921485271601	0.101498261682442	0.00047989465049325
JVP549	0.00811578744133221	0.157205987890985	0.718225793043689	0.0582041581396674	0.0582482734843272
JWX1J8	0	0.0623424165473994	0.843475988384454	0.0941815950681469	0
JZD4K9	0	0.000727667057581	0.817717906522902	0.090464436647284	0.0910899897722325
KCB6D5	0.0129367103778993	0.000853955052144061	0.883343579219105	0.102865755350851	0
KEARL7	0.00492969763149261	0.00657283855136371	0.97852096980216	0.00997649401498351	0
KG2QBG	0.110803001832758	0.021457540147385	0.843463429043642	0.0205261625036502	0.00374986647256569
KRVWH8	0.0825470921595671	0.179171343952941	0.606136716083112	0.0366263882029942	0.0955184596013852
KWBK4Q	0.239327657579568	0.0854321749406117	0.631384707243076	0	0.0438554602367449
KWVCGB	0	0.0743646501689965	0.836380682666293	0.0892546671647108	0
KY38JO	0.420532487387019	0.0239243706529174	0.520806854385558	0	0.034736287574505
L7YNDZ	0.109767688326161	0.0492463316722477	0.71157850740838	0.0781467689193871	0.0512607036738238
LC8XJK	0.0182012445775306	0	0.561743437248392	0.0272266110698559	0.392828707104221
LFJZCR	0.0469769874013148	0	0.869837237311392	0.0831857752872933	0
LOXN5C	0.0494597636677242	0.000652687611387797	0.859331465540632	0.0905560831802556	0
LSV31I	0.301689895128216	0.0312009212781929	0.520702182819688	0.0512031661862874	0.0952038345876157
LT1OSR	0.0642945530920653	0.132933817127908	0.673001047413212	0.0673625266611446	0.0624080557056701
LXAUUF	0	0.0672557405773512	0.917041910249703	0	0.0157023491729457
M3J0YL	0.0717851158943297	0.0214961952713992	0.902552400059076	0.00416628877519495	0
M8HUZM	0.0485997927907383	0.121838063805937	0.696444225111594	0.0526119983359191	0.0805059199558119
MGCSN6	0.128019790642593	0	0.78630657293577	0.0856736364216377	0
MKAUTX	0.0271276944812985	0.0532053347967769	0.916349138480356	0	0.00331783224156805
MOEPK8	0.286154087013467	0	0.591524347218771	0.0673785506652193	0.054943015102542
MRKGTX	0.00848057897486856	0.0568868372652197	0.641823119741286	0.0368958722683649	0.255913591750261
NAWX91	0.0417088559382676	0.0279533669437418	0.924138227157979	0.00619954996001194	0
